"SubjectId";"BusinessTrip";"PartySize";"Age25_44";"Age45_54";"Age55";"Income";"Female";"Undergraduate";"Posgraduate";"AirlineFirstFlight_1";"AirlineFirstFlight_2";"AirlineFirstFlight_3";"AirlineSecondFlight_3";"TripTimeHours_1";"TripTimeHours_2";"TripTimeHours_3";"Legroom12";"Legroom13";"Legroom14";"Legroom22";"Legroom23";"Legroom24";"Legroom32";"Legroom33";"Legroom34";"Fare_1";"Fare_2";"Fare_3";"StopPenaltyHours_2";"StopPenaltyHours_3";"IncomeDummy";"DiffTime1";"DiffTime2";"DiffTime3";"Choice"
42;0;2;0;1;0;80;1;1;0;2;10;9;5;4,61667;7,11667;5,61667;0;0;0;0;0;1;0;0;1;800;695;590;2;0,5;1;4;10;9;1
43;0;2;1;0;0;112,5;0;0;1;11;4;3;4;5,45;7,95;7,45;0;1;0;0;0;1;1;0;0;580;460;485;2;1,5;0;5,5;2,5;7;1
44;1;1;0;1;0;350;0;1;0;3;6;5;2;2,48333;3,98333;4,48333;1;0;0;0;0;1;0;1;0;370;305;290;1;1,5;0;7,98333333333333;7,98333333333333;11,4833333333333;1
45;0;1;0;1;0;187,5;0;0;1;6;7;6;1;2,48333;4,98333;4,98333;0;0;0;0;0;1;0;0;0;390;355;405;2;2;0;6,5;8;9,5;1
46;0;1;0;0;1;350;1;1;0;3;6;6;3;2,53333;4,03333;4,53333;0;1;0;0;0;0;0;0;1;220;180;220;1;1,5;0;0,283333333333333;10,7833333333333;2,28333333333333;2
47;0;1;0;0;0;20;1;1;0;4;3;3;1;4,5;7;5,5;1;0;0;1;0;0;1;0;0;315;330;295;2;0,5;1;5;0,5;7;1
48;1;1;1;0;0;80;1;1;0;5;1;6;7;3,93333;6,43333;5,93333;1;0;0;0;0;0;0;0;0;435;455;410;2;1,5;1;0,433333333333333;2,93333333333333;1,43333333333333;1
50;1;1;1;0;0;10;0;1;0;3;3;2;7;6,16667;7,66667;8,66667;1;0;0;0;1;0;0;0;0;395;375;430;1;2;1;5,75;3,75;5,75;1
51;0;2;1;0;0;60;0;1;0;3;6;6;3;1,96667;3,46667;3,96667;0;1;0;0;0;0;0;0;1;165;135;165;1;1,5;1;0,0333333333333333;10,4666666666667;1,96666666666667;2
52;0;1;0;1;0;112,5;1;1;0;3;3;2;7;2,51667;4,01667;5,01667;1;0;0;0;1;0;0;0;0;185;175;200;1;2;0;0,5;3,5;0,5;1
53;0;2;0;1;0;112,5;1;1;0;6;4;2;3;1,95;3,45;3,45;0;1;0;0;0;0;0;0;0;350;350;350;1;1;0;10,95;7,95;9,45;1
54;1;2;0;1;0;92,5;0;0;0;4;10;5;1;2,23333;3,23333;4,23333;0;1;0;0;1;0;0;0;1;325;435;400;0,5;1,5;1;13,25;11,25;21,25;2
57;0;3;1;0;0;80;1;1;0;6;8;7;5;5,33333;7,83333;7,33333;0;1;0;0;0;1;1;0;0;1120;1170;1220;2;1,5;1;13;12;13;1
58;0;1;1;0;0;80;1;1;0;9;11;4;11;0,916667;3,41667;2,91667;0;0;1;1;0;0;0;0;1;95;105;90;2;1,5;1;3,41666666666667;8,91666666666667;2,41666666666667;1
61;1;1;1;0;0;10;0;0;1;7;1;2;5;1,96667;3,96667;3,46667;1;0;0;0;1;0;0;0;1;315;270;345;1,5;1;1;6;4,5;6;1
62;0;5;1;0;0;112,5;1;0;0;9;6;3;6;5,3;6,3;6,8;0;0;1;0;0;0;0;1;0;810;775;885;0,5;1;0;10;12;9;1
63;0;2;1;0;0;80;0;1;0;8;3;8;2;4,23333;5,23333;5,23333;0;0;1;1;0;0;0;0;0;620;515;485;0,5;0,5;1;10;2,5;5,5;2
64;1;2;1;0;0;60;1;1;0;4;7;3;5;3,13333;5,13333;4,13333;1;0;0;0;0;1;1;0;0;380;295;365;1,5;0,5;1;10;8;12;2
65;1;1;1;0;0;162,5;1;1;0;6;2;7;1;5,76667;7,76667;7,76667;0;1;0;1;0;0;1;0;0;410;475;495;1,5;1,5;0;4,73333333333333;1,76666666666667;3,26666666666667;1
66;0;1;0;0;1;92,5;1;0;0;6;5;10;4;4,83333;7,33333;7,33333;1;0;0;1;0;0;0;1;0;565;615;565;2;2;1;14,3333333333333;9,83333333333333;15,8333333333333;1
67;0;1;1;0;0;112,5;1;0;0;4;7;3;5;1,36667;3,36667;2,36667;1;0;0;0;0;1;1;0;0;400;315;385;1,5;0,5;0;1,36666666666667;6,36666666666667;0,633333333333333;2
68;0;1;0;1;0;187,5;0;1;0;2;3;2;5;4,83333;6,83333;6,33333;0;1;0;1;0;0;0;1;0;405;490;470;1,5;1;0;9;7;7;1
69;0;1;0;0;1;60;0;1;0;6;6;4;7;4,98333;6,98333;6,98333;0;0;0;0;0;0;0;1;0;1100;1040;1155;1,5;1,5;1;2,5;2,5;2,5;1
71;0;4;1;0;0;60;0;1;0;4;10;5;1;5,33333;6,33333;7,33333;0;1;0;0;1;0;0;0;1;285;385;350;0,5;1,5;1;2;0;6;1
72;0;2;1;0;0;162,5;1;0;1;3;7;4;2;3,48333;5,48333;4,48333;0;0;1;0;1;0;0;1;0;390;350;330;1,5;0,5;0;1,25;2,25;4,75;1
73;1;1;1;0;0;80;1;1;0;1;1;1;4;0,966667;2,46667;2,46667;1;0;0;0;0;1;1;0;0;200;160;165;1;1;1;1;8,5;7;1
74;0;2;0;1;0;112,5;0;1;0;6;6;4;7;5,33333;6,33333;6,83333;1;0;0;1;0;0;1;0;0;610;535;585;0,5;1;0;2;5;1;1
75;0;2;0;1;0;187,5;0;0;1;1;2;7;11;3,33333;5,83333;5,83333;0;0;0;0;0;1;0;0;0;160;180;180;2;2;0;0;3;3;2
76;1;1;0;0;1;92,5;1;0;0;5;7;1;5;5,33333;7,33333;7,33333;0;0;1;0;0;1;0;0;1;800;620;835;1,5;1,5;1;8,83333333333333;3,83333333333333;8,83333333333333;2
77;0;1;0;0;0;60;0;1;0;11;2;2;4;5,53333;6,53333;7,03333;1;0;0;1;0;0;1;0;0;505;390;415;0,5;1;1;10;13;13;2
78;1;2;0;1;0;137,5;0;1;0;6;4;4;11;3,18333;4,68333;4,68333;1;0;0;0;0;1;1;0;0;520;610;730;1;1;0;2;9,5;9,5;1
79;0;1;1;0;0;112,5;0;1;0;4;6;10;8;5,3;6,8;7,3;0;0;0;1;0;0;0;0;0;885;665;625;1;1,5;0;1,95;0,45;4,95;2
80;0;3;0;0;1;162,5;1;1;0;2;4;5;8;2,85;4,35;5,35;0;0;1;0;0;1;0;0;1;360;395;295;1;2;0;8;3,5;8;1
81;1;1;0;1;0;350;0;0;1;2;6;6;4;4,23333;5,23333;6,73333;0;0;0;0;1;0;0;1;0;440;420;330;0,5;2;0;2,23333333333333;0,233333333333333;1,73333333333333;1
82;1;1;1;0;0;112,5;1;0;1;3;5;3;5;2,3;3,3;4,8;0;0;1;1;0;0;0;0;1;190;240;200;0,5;2;0;1,5;3,5;3,5;1
83;0;3;1;0;0;137,5;1;0;0;3;5;7;3;5,45;6,45;7,95;0;0;0;0;1;0;0;1;0;290;275;275;0,5;2;0;0;4,5;3;3
84;0;1;1;0;0;40;1;1;0;5;8;2;6;3,93333;4,93333;4,93333;0;0;1;1;0;0;0;0;0;465;575;465;0,5;0,5;1;3;2;4;1
85;0;2;1;0;0;112,5;0;0;1;2;6;5;7;2,51667;3,51667;5,01667;0;0;1;1;0;0;0;0;1;225;250;250;0,5;2;0;1,75;9,25;7,75;1
86;1;1;1;0;0;350;1;0;1;2;7;2;1;3,48333;5,98333;4,98333;0;1;0;0;0;1;0;1;0;430;430;330;2;1;0;1,01666666666667;0,516666666666667;2,48333333333333;1
87;0;4;1;0;0;92,5;0;1;0;3;1;7;6;1,85;3,35;4,35;0;0;0;0;0;0;0;1;0;550;575;525;1;2;1;0,15;0,15;0,65;3
91;0;2;0;0;0;50;1;0;1;1;2;7;10;1,96667;3,46667;2,96667;1;0;0;0;1;0;0;0;1;330;300;255;1;0,5;1;8,5;5,5;1;3
92;0;2;0;1;0;137,5;0;0;1;3;8;1;4;0,966667;2,96667;2,46667;1;0;0;0;1;0;0;0;1;250;250;180;1,5;1;0;0;6;6;1
94;1;3;1;0;0;80;1;1;0;2;4;6;2;2,51667;4,01667;5,01667;0;0;0;0;0;0;0;1;0;285;370;335;1;2;1;4,5;1,5;1,5;1
95;1;1;1;0;0;70;0;1;0;7;1;4;3;1,36667;2,36667;3,36667;0;0;1;0;0;0;1;0;0;200;180;155;0,5;1,5;1;7,13333333333333;3,13333333333333;2,13333333333333;1
96;0;2;1;0;0;162,5;1;0;1;2;1;3;9;4,3;6,3;5,8;0;0;0;0;0;0;1;0;0;180;180;200;1,5;1;0;6,3;8,3;3,3;1
100;0;2;1;0;0;40;0;1;0;2;3;4;3;2,48333;4,48333;3,98333;1;0;0;0;1;0;0;0;1;430;525;430;1,5;1;1;6;0;1,5;3
101;0;1;0;0;0;40;0;0;1;7;7;7;4;4,83333;6,33333;6,83333;1;0;0;0;0;1;0;1;0;325;290;360;1;1,5;1;4;1;5;2
102;0;1;1;0;0;40;0;0;0;1;11;7;2;3,36667;4,36667;4,36667;1;0;0;0;0;0;0;0;1;380;420;440;0,5;0,5;1;8,61666666666667;6,61666666666667;0,883333333333333;1
103;1;5;1;0;0;350;0;0;1;3;4;5;1;3,75;4,75;5,75;1;0;0;1;0;0;0;1;0;290;290;325;0,5;1,5;0;1,25;7,25;5,25;1
104;1;2;0;1;0;162,5;0;0;1;2;7;4;6;2,73333;5,23333;4,23333;1;0;0;0;0;0;0;0;1;325;325;280;2;1;0;9,25;11,75;12,25;1
105;0;2;0;0;0;70;1;0;0;11;3;1;11;2,85;4,85;5,35;1;0;0;0;0;1;0;1;0;235;290;290;1,5;2;1;4,5;4,5;3;1
106;0;1;0;1;0;112,5;1;1;0;10;7;1;7;2,53333;5,03333;5,03333;1;0;0;1;0;0;0;1;0;410;340;325;2;2;0;2,53333333333333;8,03333333333333;3,53333333333333;2
107;0;2;1;0;0;92,5;0;1;0;6;7;6;1;2,53333;5,03333;5,03333;0;0;0;0;0;1;0;0;0;230;210;240;2;2;1;5;3,5;2;1
109;0;3;1;0;0;350;0;0;1;7;6;1;6;5,3;7,3;6,3;0;0;0;1;0;0;0;0;1;620;500;560;1,5;0,5;0;4,7;4,3;3,7;2
110;0;2;0;1;0;70;1;0;1;2;3;2;5;3,33333;4,33333;5,33333;0;0;1;0;0;0;1;0;0;300;300;265;0,5;1,5;1;9,5;6,5;2;1
111;0;2;1;0;0;30;1;0;0;7;9;6;2;2,53333;5,03333;3,53333;0;1;0;0;1;0;0;0;0;235;235;260;2;0,5;1;1,96666666666667;0,533333333333333;6,53333333333333;1
112;1;2;0;1;0;50;0;0;1;7;3;7;2;2,23333;4,23333;3,73333;0;0;0;0;0;0;1;0;0;195;265;195;1,5;1;1;5,48333333333333;0,0166666666666667;8,48333333333333;1
113;1;2;1;0;0;80;1;1;0;1;1;1;4;5,33333;6,83333;6,83333;1;0;0;0;0;1;1;0;0;975;765;805;1;1;1;7,33333333333333;3,83333333333333;4,83333333333333;2
114;0;1;0;0;1;70;1;1;0;3;1;7;6;5,33333;7,83333;6,33333;1;0;0;1;0;0;1;0;0;460;505;460;2;0,5;1;1,33333333333333;4,83333333333333;8,33333333333333;1
115;1;1;0;0;0;30;0;0;0;3;7;4;2;5,3;6,3;7,8;0;1;0;0;0;1;1;0;0;795;930;840;0,5;2;1;2,3;3,3;9,8;1
116;0;2;1;0;0;50;1;0;0;1;1;1;4;3,01667;4,51667;4,51667;1;0;0;0;0;1;1;0;0;355;280;295;1;1;1;1,5;6,5;5,5;1
117;0;2;1;0;0;50;1;1;0;3;4;5;1;4,83333;5,83333;6,83333;1;0;0;1;0;0;0;1;0;460;460;510;0,5;1,5;1;2,16666666666667;3,83333333333333;2,83333333333333;1
118;0;2;1;0;0;60;0;1;0;7;9;5;8;2,45;4,95;3,45;1;0;0;1;0;0;1;0;0;215;190;160;2;0,5;1;7,5;3;4,5;3
121;0;1;0;0;0;20;0;0;0;2;6;6;4;0,966667;1,96667;3,46667;0;0;0;0;1;0;0;1;0;170;160;125;0,5;2;1;2,5;0,5;0,5;1
122;0;1;0;0;0;30;1;1;0;2;6;5;7;1,96667;2,96667;4,46667;0;0;1;1;0;0;0;0;1;150;165;165;0,5;2;1;0;7,5;6;1
124;1;1;1;0;0;112,5;1;1;0;4;6;10;8;0,966667;2,46667;2,96667;0;0;0;1;0;0;0;0;0;210;160;150;1;1,5;0;6;6;1,5;1
125;0;4;0;0;1;92,5;0;0;1;2;3;4;3;4,3;5,3;6,3;0;0;0;0;0;1;0;0;0;190;160;225;0,5;1,5;1;0;6;4,5;1
126;0;1;1;0;0;40;1;1;0;1;11;3;4;2,23333;3,23333;3,23333;0;1;0;0;0;1;0;1;0;205;230;205;0,5;0,5;1;9,5;3,5;8;1
127;0;1;0;0;0;30;1;1;0;2;4;5;8;5,53333;7,03333;8,03333;0;0;1;0;0;1;0;0;1;800;875;650;1;2;1;8;11;8;3
128;1;1;1;0;0;80;0;0;1;9;1;5;3;2,51667;4,51667;5,01667;0;0;0;1;0;0;0;0;0;395;450;340;1,5;2;1;11,7666666666667;4,76666666666667;6,76666666666667;1
129;0;1;0;0;0;20;1;0;0;8;4;3;5;1,25;2,75;2,75;0;0;1;0;1;0;0;1;0;110;120;135;1;1;1;7,25;5,75;1,25;1
133;0;2;0;0;1;40;1;0;0;3;2;11;9;3,33333;4,83333;5,33333;0;0;1;0;1;0;1;0;0;430;430;450;1;1,5;1;1;0,5;5,5;1
134;0;3;0;1;0;70;1;0;0;1;11;3;4;4,3;5,3;5,3;0;1;0;0;0;1;0;1;0;170;190;170;0,5;0,5;1;3,5;9,5;5;1
135;0;2;1;0;0;112,5;1;0;1;1;2;7;10;4,23333;5,73333;5,23333;1;0;0;0;1;0;0;0;1;605;550;465;1;0,5;0;5,23333333333333;3,73333333333333;1,26666666666667;3
136;1;1;1;0;0;350;0;1;0;6;2;7;1;5,3;6,3;6,8;0;0;1;0;0;0;0;1;0;885;625;735;0,5;1;0;4;2;4;1
137;1;1;0;1;0;112,5;1;1;0;2;2;11;1;5,53333;7,53333;6,53333;0;0;0;1;0;0;0;0;1;550;640;670;1,5;0,5;0;1;5;2;1
139;1;2;1;0;0;112,5;1;1;0;6;4;4;10;2,53333;5,03333;4,53333;0;0;0;0;1;0;0;1;0;295;255;240;2;1,5;0;9,75;8,25;3,75;1
140;0;2;1;0;0;350;1;1;0;4;4;9;7;5,85;7,85;7,35;1;0;0;0;1;0;0;0;1;495;450;470;1,5;1;0;1,35;4,85;4,35;1
141;1;1;1;0;0;137,5;1;0;1;4;3;3;1;3,48333;5,98333;4,48333;1;0;0;1;0;0;1;0;0;350;370;330;2;0,5;0;14;12;16;1
142;0;2;0;1;0;350;1;1;0;4;5;4;2;2,23333;4,23333;3,23333;0;0;0;1;0;0;0;0;1;335;350;365;1,5;0,5;0;3,5;0,5;5;1
144;1;1;0;0;0;30;1;0;0;1;3;5;4;5,5;8;7,5;1;0;0;0;0;0;0;0;0;450;635;610;2;1,5;1;6,25;7,75;10,25;1
145;0;1;0;0;0;20;1;0;0;8;5;5;6;2,53333;5,03333;5,03333;0;0;0;0;0;1;0;0;0;175;150;175;2;2;1;1,5;7,5;9;1
147;0;1;0;0;0;112,5;0;1;0;3;3;4;6;2,53333;4,03333;5,03333;0;1;0;1;0;0;1;0;0;270;235;245;1;2;0;0,5;6,5;2;1
148;0;4;1;0;0;137,5;0;0;1;3;7;2;9;2,51667;3,51667;5,01667;1;0;0;0;0;0;0;0;0;265;280;320;0,5;2;0;1;4;7;1
149;0;2;0;0;1;112,5;0;0;1;1;1;1;3;4,3;6,8;6,3;0;0;0;0;1;0;0;1;0;265;265;215;2;1,5;0;2,75;1,25;7,25;3
150;0;1;1;0;0;70;0;0;1;10;10;2;5;5,61667;7,11667;7,11667;1;0;0;0;0;1;1;0;0;465;585;490;1;1;1;4,88333333333333;4,88333333333333;4,88333333333333;1
151;0;3;1;0;0;112,5;0;1;0;4;1;2;7;5,53333;7,03333;8,03333;0;1;0;1;0;0;1;0;0;610;730;520;1;2;0;12;8;10;3
152;0;1;1;0;0;92,5;1;0;1;5;1;6;7;4,23333;5,73333;5,73333;0;0;0;1;0;0;0;0;1;430;345;430;1;1;1;0,0166666666666667;4,51666666666667;7,51666666666667;2
153;0;1;0;0;1;187,5;0;1;0;8;4;3;5;3,75;5,25;5,25;0;0;1;0;1;0;0;1;0;155;165;185;1;1;0;8,75;7,25;2,75;1
154;1;1;0;0;0;92,5;1;0;1;6;4;4;10;5,3;7,8;7,3;0;0;0;0;1;0;0;1;0;650;560;530;2;1,5;1;6,01666666666667;7,01666666666667;10,0166666666667;3
155;0;2;0;1;0;30;1;1;0;2;6;5;7;5,23333;7,23333;6,23333;0;1;0;0;0;0;0;0;0;355;335;415;1,5;0,5;1;7,5;6;12;1
156;1;1;0;1;0;112,5;0;0;1;4;7;7;3;1;2;3,5;0;0;1;1;0;0;0;0;1;90;105;130;0,5;2;0;6;6,5;5;1
157;1;2;0;0;1;112,5;0;0;1;3;5;7;3;2,58333;3,58333;5,08333;0;0;0;0;1;0;0;1;0;245;230;230;0,5;2;0;2,5;7;5,5;3
158;0;1;0;0;1;137,5;1;0;1;5;5;6;10;4,98333;6,98333;6,98333;1;0;0;0;1;0;0;0;0;640;610;580;1,5;1,5;0;1,01666666666667;4,98333333333333;5,98333333333333;1
159;0;2;1;0;0;80;1;1;0;2;3;4;3;1,95;3,95;3,45;1;0;0;0;1;0;0;0;1;300;370;300;1,5;1;1;4;10;11,5;1
161;1;1;1;0;0;40;0;1;0;4;1;2;7;4,23333;6,73333;5,23333;0;0;1;0;0;0;0;1;0;405;515;430;2;0,5;1;3;3;1,5;1
163;1;1;1;0;0;92,5;1;1;0;5;6;7;11;1,85;3,35;2,85;0;1;0;1;0;0;0;1;0;400;340;480;1;0,5;1;6,85;2,35;7,85;1
164;1;1;1;0;0;60;0;1;0;1;7;6;11;2,51667;4,51667;4,51667;0;1;0;1;0;0;1;0;0;225;270;235;1,5;1,5;1;8;1;0,5;1
165;0;1;1;0;0;50;1;1;0;10;10;4;10;5,3;6,8;6,8;0;1;0;0;0;0;0;0;0;795;750;750;1;1;1;6,3;4,8;5,8;1
166;1;1;0;1;0;162,5;0;0;1;7;9;5;8;5,33333;7,83333;6,33333;1;0;0;1;0;0;1;0;0;610;535;460;2;0,5;0;5,83333333333333;1,33333333333333;4,83333333333333;1
169;1;1;1;0;0;350;1;1;0;11;5;6;1;5,53333;7,03333;6,53333;0;1;0;1;0;0;0;1;0;725;875;725;1;0,5;0;3,46666666666667;2,03333333333333;1,46666666666667;1
170;0;1;1;0;0;112,5;0;1;0;5;8;2;6;4,5;5,5;5,5;0;0;1;1;0;0;0;0;0;590;725;590;0,5;0,5;0;6;1,5;7,5;1
171;0;1;1;0;0;70;1;0;0;4;7;3;5;2,85;3,85;5,35;0;0;0;0;1;0;0;1;0;290;290;290;0,5;2;1;5;9,5;8;1
172;0;5;1;0;0;162,5;0;0;1;6;9;3;7;5,45;6,95;6,95;0;0;0;1;0;0;0;0;1;340;275;355;1;1;0;9,75;9,75;2,25;3
173;0;2;1;0;0;112,5;0;1;0;6;5;1;7;4,61667;7,11667;7,11667;0;1;0;0;1;0;0;0;1;665;495;520;2;2;0;0,5;0,5;0,5;2
174;1;2;0;1;0;112,5;1;1;0;3;6;5;2;3,33333;4,83333;5,33333;1;0;0;0;0;1;0;1;0;290;240;225;1;1,5;0;2,75;4,25;1,25;3
175;1;1;1;0;0;70;1;1;0;5;3;1;5;4,83333;6,33333;6,33333;0;1;0;0;0;0;0;0;0;615;590;460;1;1;1;0,833333333333333;8,33333333333333;8,33333333333333;1
176;0;2;1;0;0;162,5;1;1;0;3;1;3;1;2,5;5;3,5;0;1;0;0;1;0;0;0;0;170;220;240;2;0,5;0;3,5;6;2,5;1
177;1;1;0;1;0;92,5;0;0;1;10;6;3;6;1,96667;3,96667;3,96667;0;1;0;1;0;0;1;0;0;170;180;180;1,5;1,5;1;5,03333333333333;0,0333333333333333;1,46666666666667;1
178;1;1;1;0;0;92,5;1;1;0;7;9;6;2;1,68333;4,18333;2,68333;0;1;0;0;1;0;0;0;0;375;375;410;2;0,5;1;7,5;7,5;0;1
180;1;1;1;0;0;137,5;0;0;1;11;3;9;2;4,23333;6,23333;6,73333;0;1;0;0;0;0;0;0;1;290;275;330;1,5;2;0;0,733333333333333;4,23333333333333;7,73333333333333;1
183;0;4;0;1;0;350;0;0;1;4;4;8;7;5,33333;6,33333;7,33333;0;0;0;0;0;1;0;0;0;370;415;480;0,5;1,5;0;1,33333333333333;6,33333333333333;4,33333333333333;1
186;0;2;1;0;0;350;1;1;0;1;11;7;2;5,33333;6,33333;6,33333;1;0;0;0;0;0;0;0;1;555;610;640;0,5;0,5;0;2,33333333333333;1,33333333333333;3,66666666666667;1
187;1;1;0;1;0;112,5;0;1;0;2;4;6;2;1,25;2,75;3,75;0;0;0;0;0;0;0;1;0;170;220;200;1;2;0;4;1;1;1
188;0;4;0;1;0;60;1;1;0;3;7;2;8;3,56667;5,56667;4,56667;0;0;0;1;0;0;0;0;1;430;345;360;1,5;0,5;1;3,56666666666667;6,56666666666667;4,56666666666667;3
189;1;1;1;0;0;112,5;1;0;1;10;6;7;1;4,56667;6,56667;6,56667;1;0;0;0;1;0;0;0;0;380;345;400;1,5;1,5;0;3;1;0;1
